net,length_um
_1117_,23.92
_1222_,23.84
rf.registers\[10\]\[10\],23.84
_3035_,23.8
_1370_,23.795
_0847_,23.76
_2040_,23.76
_2265_,23.72
_2858_,23.71
_1129_,23.7
_3555_,23.7
_1800_,23.68
_4255_,23.68
_0234_,23.64
_0401_,23.64
_2288_,23.64
_2361_,23.64
_0433_,23.52
_0594_,23.52
_0893_,23.5
_4234_,23.44
_1086_,23.42
_4197_,23.34
_1043_,23.32
_0816_,23.295
rf.registers\[5\]\[0\],23.28
_2600_,23.24
_3766_,23.18
_3768_,23.18
_1077_,23.14
_3412_,23.1
_2045_,23.08
_0993_,23.06
_1758_,23.04
_1846_,23.02
_2260_,23
_0371_,22.96
_2599_,22.92
_1855_,22.91
_1253_,22.895
_2029_,22.885
_2354_,22.88
rf.registers\[5\]\[2\],22.88
_2883_,22.8
_1191_,22.78
_1617_,22.74
_2542_,22.73
_4211_,22.72
_0551_,22.7
_3188_,22.7
_0379_,22.66
_1001_,22.66
_1063_,22.64
_1513_,22.6
_2128_,22.6
_3824_,22.6
_0360_,22.58
_1027_,22.56
_2175_,22.56
_1573_,22.5
_1816_,22.5
_1908_,22.5
_2752_,22.5
_2788_,22.5
_0446_,22.46
_2019_,22.44
_2648_,22.42
_3752_,22.42
_1341_,22.4
_1759_,22.38
_1050_,22.36
net265,22.35
_1655_,22.34
_1136_,22.32
_2178_,22.3
_3087_,22.3
_2913_,22.26
_4325_,22.26
_1607_,22.24
_3227_,22.24
_3962_,22.24
_2054_,22.14
_0403_,22.1
_3015_,22.08
_4229_,22.01
_1557_,22
_1206_,21.98
_4206_,21.98
_0948_,21.975
_0232_,21.92
_1857_,21.9
_0939_,21.88
_1753_,21.86
_4180_,21.86
_0150_,21.82
_3394_,21.8
_2507_,21.76
_2522_,21.76
_3325_,21.76
_1065_,21.74
_2914_,21.74
_2679_,21.72
_3308_,21.72
_1519_,21.68
_2476_,21.68
_1176_,21.66
_3663_,21.66
_3699_,21.64
_2965_,21.635
_0467_,21.62
_2235_,21.56
_0956_,21.52
_0766_,21.48
_1673_,21.46
_1295_,21.45
_2274_,21.45
_2935_,21.4
_3219_,21.4
_3778_,21.4
_1056_,21.38
_2375_,21.36
_3365_,21.36
_1658_,21.32
_3068_,21.32
_4248_,21.32
_1226_,21.3
_3986_,21.3
_3152_,21.28
_0874_,21.24
_2810_,21.22
_3352_,21.22
_2720_,21.2
_2694_,21.16
_3097_,21.16
_2496_,21.14
_1718_,21.12
_2183_,21.12
_1017_,21.11
_3439_,21.1
_4152_,21.1
_1755_,21.08
display.refresh_counter\[1\],21.08
_1179_,21.04
_1103_,21.02
_2550_,21.02
rf.registers\[25\]\[26\],21
_2865_,20.98
_0897_,20.96
_3331_,20.94
_4228_,20.94
_3411_,20.9
_4246_,20.88
_2290_,20.84
_3695_,20.84
_4294_,20.82
_0552_,20.8
_1438_,20.8
_0437_,20.78
_1125_,20.78
_3982_,20.72
_3804_,20.7
_4212_,20.7
_0966_,20.68
_1124_,20.68
_3175_,20.67
_0838_,20.63
_0414_,20.62
_0942_,20.62
_2301_,20.62
rf.registers\[25\]\[27\],20.62
_2195_,20.6
rf.registers\[10\]\[2\],20.58
_0472_,20.56
_2356_,20.54
_1596_,20.5
_3094_,20.5
_2131_,20.48
_2874_,20.475
_1183_,20.46
_3607_,20.46
rf.registers\[15\]\[18\],20.44
_0731_,20.42
_2916_,20.4
_3379_,20.4
_3737_,20.4
_2474_,20.36
_2984_,20.36
_1501_,20.32
_3357_,20.32
rf.registers\[25\]\[11\],20.32
_0392_,20.3
_0764_,20.3
_1343_,20.28
_1782_,20.26
_3320_,20.26
_2718_,20.24
_1820_,20.2
_1774_,20.16
_1864_,20.1
_0580_,20.08
_1407_,20.08
_2015_,20.08
_2412_,20.08
_2499_,20.04
_3239_,20.04
_2000_,20
_4277_,20
_0343_,19.98
_3053_,19.98
_1845_,19.96
_2187_,19.94
_2413_,19.94
_3005_,19.93
_3064_,19.92
_2492_,19.9
_2776_,19.9
_2942_,19.9
_3277_,19.9
_3377_,19.9
_4217_,19.9
_2517_,19.88
_3550_,19.86
_1284_,19.84
_1949_,19.82
_3136_,19.82
_3648_,19.82
_2107_,19.78
_3100_,19.78
_3627_,19.76
_2222_,19.73
_3420_,19.73
_2226_,19.72
_2115_,19.7
_3561_,19.7
_2149_,19.68
_2480_,19.68
_3580_,19.68
_1054_,19.67
_0929_,19.66
_1203_,19.66
_2304_,19.66
_3722_,19.63
_1648_,19.62
_4291_,19.54
_0799_,19.52
_2004_,19.5
_3453_,19.5
_3748_,19.5
_2377_,19.46
_2414_,19.46
_2710_,19.425
_3769_,19.4
_3957_,19.4
_3775_,19.38
_3332_,19.36
_0406_,19.33
_2960_,19.32
_1196_,19.3
_1981_,19.3
_2777_,19.3
_1956_,19.28
_2273_,19.26
_3652_,19.26
rf.registers\[10\]\[1\],19.24
_3599_,19.22
_1382_,19.18
_3230_,19.18
_3212_,19.17
_2753_,19.16
_2763_,19.16
_1622_,19.1
_3260_,19.08
_4286_,19.06
_2345_,19.04
_2666_,19
_3165_,18.995
_0794_,18.98
_0902_,18.98
_1924_,18.98
_2333_,18.98
_2940_,18.96
_0955_,18.94
_3265_,18.94
_3441_,18.92
rf.registers\[25\]\[7\],18.92
_2148_,18.9
_1930_,18.87
_2578_,18.86
_2812_,18.86
_2944_,18.86
_3317_,18.86
_2767_,18.84
_1468_,18.82
_0976_,18.78
_2459_,18.78
_2972_,18.78
_3618_,18.78
_0981_,18.765
_1308_,18.76
_4322_,18.76
_0590_,18.74
_0713_,18.74
_1331_,18.74
_2479_,18.74
_3071_,18.74
_3707_,18.72
_1506_,18.7
_2066_,18.7
_0538_,18.68
_2284_,18.66
_3964_,18.66
_1712_,18.64
_3596_,18.64
_3643_,18.615
rf.registers\[25\]\[12\],18.6
_1302_,18.58
_0849_,18.57
_3666_,18.565
_2152_,18.56
_2974_,18.56
rf.registers\[10\]\[17\],18.56
_1292_,18.54
_1507_,18.54
_1306_,18.52
_1414_,18.52
_1933_,18.52
_2678_,18.52
_0413_,18.5
_4112_,18.5
_2759_,18.495
_0395_,18.48
_3576_,18.48
_1987_,18.44
_3548_,18.44
_2292_,18.42
_2488_,18.41
_1309_,18.4
_2091_,18.4
_2630_,18.38
_3430_,18.38
_2383_,18.36
_3414_,18.36
_3765_,18.34
_1538_,18.32
_1909_,18.32
_2263_,18.32
_4301_,18.32
_2629_,18.3
_3867_,18.3
rf.registers\[15\]\[1\],18.3
_0755_,18.28
_0772_,18.22
_1166_,18.22
_0366_,18.2
_3582_,18.2
_4219_,18.2
_2455_,18.18
_3690_,18.18
_3506_,18.17
_2325_,18.16
_3756_,18.14
_2417_,18.12
_0878_,18.1
_3780_,18.1
_2734_,18.08
_2445_,18.04
_2750_,18.03
_0508_,18.02
_3593_,18.02
_1993_,18
_2380_,17.92
_2617_,17.92
net115,17.92
_0779_,17.9
_2424_,17.9
_2622_,17.9
net76,17.9
_1666_,17.89
_0471_,17.86
_0830_,17.86
_1146_,17.86
_1491_,17.86
_3074_,17.86
_2549_,17.84
_3221_,17.84
_0356_,17.82
_1139_,17.82
_2415_,17.78
_2483_,17.78
_3158_,17.78
_0328_,17.76
_3326_,17.76
_3287_,17.74
_0266_,17.72
_1562_,17.72
_4032_,17.72
_1634_,17.66
_1859_,17.66
_2722_,17.64
_2141_,17.62
_3182_,17.62
_3801_,17.62
_0342_,17.6
_0500_,17.6
_0877_,17.58
_2142_,17.58
_3614_,17.56
_4146_,17.56
_2603_,17.525
_1419_,17.5
_3162_,17.5
_3353_,17.5
_2103_,17.485
_2340_,17.48
_2552_,17.48
_2798_,17.44
_3135_,17.42
_2658_,17.41
_3688_,17.36
_1990_,17.34
_3025_,17.34
rf.registers\[25\]\[21\],17.32
_0827_,17.3
_2465_,17.3
_3637_,17.3
_1976_,17.28
_3590_,17.28
_3893_,17.28
_2487_,17.26
_1426_,17.24
_1810_,17.24
_1662_,17.18
_2440_,17.18
_2672_,17.18
_2901_,17.18
_2995_,17.18
_1428_,17.14
_0922_,17.12
_2016_,17.1
_2950_,17.1
_3103_,17.1
_0345_,17.08
_2313_,17.08
_1632_,17.06
_3601_,17.06
rf.registers\[10\]\[28\],17.06
_0879_,17.02
_1171_,17.02
_2347_,17
_4238_,17
_3040_,16.99
_2494_,16.98
_3651_,16.98
_4296_,16.98
rf.registers\[15\]\[12\],16.98
_0340_,16.94
_1007_,16.94
_2237_,16.9
_1817_,16.895
_2129_,16.88
_3310_,16.88
_1546_,16.86
_2721_,16.86
_3022_,16.855
_0695_,16.8
_4185_,16.78
_3169_,16.74
_3692_,16.74
_3629_,16.72
rf.registers\[5\]\[12\],16.7
_2426_,16.68
_3114_,16.68
_3384_,16.68
_1815_,16.66
_0326_,16.64
_2328_,16.64
_1192_,16.63
_0742_,16.62
_2636_,16.62
_3624_,16.58
_0441_,16.56
_0903_,16.54
_1552_,16.54
_3255_,16.52
_4305_,16.52
_2659_,16.51
_0397_,16.5
_0425_,16.44
_2353_,16.44
_1772_,16.42
_3644_,16.42
_2902_,16.4
_2908_,16.4
_4205_,16.4
rf.registers\[25\]\[20\],16.4
_2903_,16.38
_1436_,16.36
_0540_,16.34
_2468_,16.34
net48,16.34
_1230_,16.32
_2497_,16.28
_3830_,16.28
_0462_,16.26
_0740_,16.26
_2970_,16.26
_3295_,16.26
_3460_,16.26
_3798_,16.26
_3810_,16.26
_4224_,16.26
_0226_,16.24
_0394_,16.24
_1241_,16.22
_1962_,16.22
_2999_,16.22
_3552_,16.18
_1376_,16.16
_1384_,16.14
_2938_,16.14
_2981_,16.1
_2545_,16.08
_2957_,16.08
_3216_,16.03
_1051_,16.02
_1143_,16.02
_1916_,16.02
_3030_,16.02
_3076_,16.02
_3715_,16.02
rf.registers\[25\]\[13\],16.02
_0442_,16
_0811_,15.98
_1589_,15.98
_1613_,15.98
_1840_,15.98
_0275_,15.96
_2882_,15.96
_3423_,15.96
_1534_,15.94
_4303_,15.94
rf.registers\[10\]\[31\],15.94
_1199_,15.92
_3398_,15.92
_3662_,15.9
_1574_,15.86
_3483_,15.86
_0422_,15.84
_1387_,15.84
_2609_,15.82
_3442_,15.78
_1944_,15.76
_2751_,15.76
